brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Hyundai,Wagon,2022,Lainnya,Automatic,12500,0,Electric,Complete Knock Down (CKD),5,5,630000000
Tesla,Wagon,2022,Hitam,Automatic,153,0,Electric,Complete Built Up (CBU),5,5,1390000000
Tesla,Sedan,2020,Silver,Automatic,17500,0,Electric,Complete Built Up (CBU),5,4,900000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,235000000
Hyundai,Fastback,2020,Hitam,Automatic,87500,0,Electric,Complete Built Up (CBU),5,5,420000000
Wuling,Hatchback,2022,Hijau,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,210000000
Hyundai,Wagon,2021,Abu-abu,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,399000000
Porsche,Sedan,2021,Hitam,Automatic,7500,0,Electric,Complete Built Up (CBU),4,4,3650000000
Porsche,Sedan,2021,Merah,Automatic,7500,0,Electric,Complete Built Up (CBU),4,4,3775000000
Tesla,Wagon,2019,Biru,Automatic,12500,0,Electric,Complete Built Up (CBU),5,5,2650000000
Hyundai,Wagon,2023,Silver,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,740000000
Hyundai,Wagon,2023,Silver,Automatic,600,0,Electric,Complete Knock Down (CKD),5,5,740000000
KIA,Wagon,2023,Putih,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1100000000
Hyundai,Wagon,2023,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,735000000
Hyundai,Wagon,2023,Putih,Automatic,8000,0,Electric,Complete Knock Down (CKD),5,5,735000000
Hyundai,Wagon,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,735000000
KIA,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1195000000
Wuling,Hatchback,2022,Kuning,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,245000000
Lexus,Hatchback,2021,Abu-abu,Automatic,38000,0,Electric,Complete Built Up (CBU),5,5,975000000
Wuling,Hatchback,2023,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,250000000
Tesla,Sedan,2020,Merah,Automatic,22500,0,Electric,Complete Built Up (CBU),5,4,775000000
Lexus,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,2200000000
KIA,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1050000000
Wuling,Hatchback,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,215000000
Wuling,Hatchback,2023,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,219000000
Wuling,Hatchback,2022,Biru,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,209000000
Hyundai,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,650000090
Wuling,Hatchback,2022,Lainnya,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,215000000
Hyundai,Wagon,2023,Emas,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,650000000
Wuling,Hatchback,2023,Putih,Automatic,4000,0,Electric,Complete Knock Down (CKD),4,3,205000000
Porsche,Sedan,2022,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),4,4,2750000000
BMW,Wagon,2023,Marun,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1750000000
Tesla,Wagon,2022,Biru,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,1290000000
Porsche,Sedan,2020,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),4,4,2750000000
Hyundai,Fastback,2021,Abu-abu,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,450000000
Wuling,Hatchback,2023,Kuning,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,180000000
Wuling,Hatchback,2022,Kuning,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,189000000
Porsche,Sedan,2023,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),4,4,3600000000
Wuling,Hatchback,2022,Putih,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,186500000
Hyundai,Wagon,2022,Abu-abu,Automatic,17500,0,Electric,Complete Knock Down (CKD),5,5,620000000
Hyundai,Wagon,2023,Abu-abu,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,635000000
Wuling,Hatchback,2022,Putih,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,190000000
KIA,Wagon,2023,Putih,Automatic,17500,0,Electric,Complete Built Up (CBU),5,5,875000000
Wuling,Hatchback,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,225000000
Wuling,Hatchback,2022,Biru,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,208000000
Wuling,Hatchback,2022,Lainnya,Automatic,19000,0,Electric,Complete Knock Down (CKD),4,3,225000000
Hyundai,Wagon,2020,Putih,Automatic,64000,0,Electric,Complete Built Up (CBU),5,5,215000000
Toyota,Wagon,2023,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,890000000
